objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7766,S13002858,Inverurie and District, ,378198,820478,-2.36319,57.274399,45801951.650543,41775.3993975201
7767,S13002859,East Garioch, ,383431,816440,-2.27614,57.23835,120426498.178977,74896.9007512617
7768,S13002860,Westhill and District, ,374298,807523,-2.42652,57.157829,178976411.569163,69121.7193182338
7769,S13002861,"Huntly, Strathbogie and Howe of Alford", ,355440,827910,-2.74191,57.3395,799160553.638345,197625.409339234
7770,S13002862,"Aboyne, Upper Deeside and Donside", ,328566,799358,-3.18006,57.079651,1746555470.6267,280010.590759057
7771,S13002863,Banchory and Mid Deeside, ,361232,790851,-2.63992,57.007149,407452849.162279,111855.866222876
7772,S13002864,North Kincardine, ,388390,795818,-2.19302,57.053261,110024569.182038,46860.8798748619
7773,S13002865,Stonehaven and Lower Deeside, ,380598,793075,-2.32125,57.028351,191553393.838103,89623.0911590554
7774,S13002866,Mearns, ,372816,775067,-2.4475,56.866192,451697525.532886,98500.1171226936
7775,S13002867,Kirriemuir and Dean, ,331790,761895,-3.11679,56.74366,816296156.546414,189740.654518749
7776,S13002868,Brechin and Edzell, ,348264,772215,-2.84959,56.838482,715591662.835926,144719.425362954
7777,S13002869,Forfar and District, ,347494,751549,-2.85796,56.652771,67698000.4827474,47248.6755392768
7778,S13002870,Monifieth and Sidlaw, ,337150,737227,-3.02316,56.522839,153935477.031963,94764.9419531554
7779,S13002871,Carnoustie and District, ,353991,735947,-2.74923,56.513302,67805929.4234504,45935.5722036732
7780,S13002872,"Arbroath West, Letham and Friockheim", ,353966,746633,-2.75154,56.609291,210821580.91477,84850.6366092993
7781,S13002873,Arbroath East and Lunan, ,366249,746731,-2.55147,56.611221,62900054.5910482,38349.6566143485
7782,S13002874,Montrose and District, ,368148,762052,-2.52243,56.748981,90347913.9475626,73640.0443554297
7783,S13002875,Clackmannanshire West, ,285756,697056,-3.84066,56.152451,18620184.4946654,35180.7485619863
7784,S13002876,Clackmannanshire North, ,290987,699542,-3.75752,56.175999,55049711.5672021,36246.2950865185
7785,S13002877,Clackmannanshire Central, ,290242,694759,-3.76754,56.13287,10031683.4196164,17327.7333906125
7786,S13002878,Clackmannanshire South, ,288233,692653,-3.79896,56.113499,6721883.57273507,18914.143429559
7787,S13002879,Clackmannanshire East, ,295734,695329,-3.67944,56.139229,68752767.1306101,58782.4035750202
7788,S13002880,Stranraer and the Rhins, ,205938,554116,-5.02389,54.844139,336104923.184834,158315.512123234
7789,S13002881,Mid Galloway and Wigtown West, ,227322,561539,-4.69573,54.918598,1425119714.65528,269322.196762063
7790,S13002882,Dee and Glenkens, ,264644,573343,-4.11951,55.036121,1211592575.7507,274138.375416231
7791,S13002883,Castle Douglas and Crocketford, ,280542,568208,-3.86875,54.99408,460223174.813073,144089.925987727
7792,S13002884,Abbey, ,294822,564371,-3.64425,54.962841,205152810.433699,100892.856630936
7793,S13002885,North West Dumfries, ,295878,577121,-3.63241,55.077579,8646388.88248415,14068.9462247822
7794,S13002886,Mid and Upper Nithsdale, ,282874,599888,-3.84541,55.27916,862609452.094893,154182.277145197
7795,S13002887,Lochar, ,297938,585235,-3.60308,55.15089,197813452.091229,79910.4162225686
7796,S13002888,Nith, ,302449,567538,-3.52626,54.99284,47692594.244575,50567.3711255336
7797,S13002889,Annandale South, ,313455,570509,-3.35519,55.021561,195278796.686375,83588.3779741489
7798,S13002890,Annandale North, ,312698,594737,-3.37448,55.239079,745254388.033589,164349.206902588
7799,S13002891,Annandale East and Eskdale, ,330690,585036,-3.08922,55.154781,742173057.645333,179185.213680214
7800,S13002892,Annick, ,245292,646120,-4.46227,55.683819,194657739.119678,90631.6795257673
7801,S13002893,Kilmarnock North, ,242706,640454,-4.50011,55.632118,7091806.22092657,14597.7376170791
7802,S13002894,Kilmarnock West and Crosshouse, ,240268,638378,-4.53759,55.61269,17845954.7577857,24290.8124536536
7803,S13002895,Kilmarnock East and Hurlford, ,245022,637016,-4.46142,55.602009,10403220.8929461,17621.8372406529
7804,S13002896,Kilmarnock South, ,241754,635156,-4.51217,55.584259,8124857.97624909,12949.7739241257
7805,S13002897,Irvine Valley, ,255967,638934,-4.28887,55.622589,117824181.568409,55471.8206265262
7806,S13002898,Ballochmyle, ,261034,626525,-4.20223,55.51265,339277097.922081,117904.232032754
7807,S13002899,Cumnock and New Cumnock, ,257750,613166,-4.24735,55.391762,314975517.259786,99611.3645387162
7808,S13002900,Doon Valley, ,244669,591421,-4.44165,55.192581,261110249.775029,141440.166146235
7809,S13002901,Milngavie, ,253858,676067,-4.34226,55.955318,22719400.6030807,23763.4695392081
7810,S13002902,Bearsden North, ,253534,673232,-4.3459,55.929771,7879120.912274,13868.5365547774
7811,S13002903,Bearsden South, ,254804,671657,-4.32475,55.916012,6798074.23125504,12981.8202958346
7812,S13002904,Bishopbriggs North and Campsie, ,262283,676764,-4.20779,55.964069,101930542.122316,54227.3340093034
7813,S13002905,Bishopbriggs South, ,262410,670334,-4.20248,55.906368,4666421.41004856,12221.8397206661
7814,S13002906,Lenzie and Kirkintilloch South, ,266519,672335,-4.1378,55.925499,11264601.5170393,17813.1820498977
7815,S13002907,Kirkintilloch East and North and Twechar, ,268005,674443,-4.11506,55.944832,19309296.9060535,26770.8304951194
7816,S13002908,Musselburgh, ,333761,671590,-3.0618,55.932781,11972011.5206891,20713.4986929064
7817,S13002909,"Preston, Seton and Gosford", ,343682,675261,-2.90379,55.96703,24434781.5138879,32567.2250181835
7818,S13002910,"Tranent, Wallyford and Macmerry", ,340705,671632,-2.95068,55.934071,40731972.0074993,38419.952605694
7819,S13002911,North Berwick Coastal, ,353341,681037,-2.75008,56.019958,95471259.695045,56109.2756905351
7820,S13002912,Haddington and Lammermuir, ,350318,669131,-2.79637,55.912689,318969217.845691,103609.093623498
7821,S13002913,Dunbar and East Linton, ,365889,674159,-2.54792,55.959221,188445951.527891,82488.4950234108
7822,S13002914,"Barrhead, Liboside and Uplawmoor", ,244525,657238,-4.48078,55.783371,38643039.2271586,43795.3897906439
7823,S13002915,Newton Mearns North and Neilston, ,250069,653628,-4.39048,55.75272,43836402.4413487,36491.3688170925
7824,S13002916,Giffnock and Thornliebank, ,255882,658932,-4.30075,55.802101,5747732.80671035,10227.3486809234
7825,S13002917,"Clarkston, Netherlee and Williamwood", ,257228,657118,-4.27835,55.786209,7868538.69297803,14681.1725890305
7826,S13002918,Newton Mearns South and Eaglesham, ,255451,651694,-4.30378,55.736992,77555104.7983105,40272.0505614854
7827,S13002919,Almond, ,315874,675283,-3.34916,55.96315,63926565.4885653,45164.1748384172
7828,S13002920,Pentland Hills, ,315516,665843,-3.35194,55.8783,80726284.1219284,48582.1560617114
7829,S13002921,Drum Brae/Gyle, ,319142,673874,-3.29641,55.951061,6963589.04855809,14788.5103534871
7830,S13002922,Forth, ,323761,676749,-3.22328,55.977638,5524332.01701839,14640.5658031993
7831,S13002923,Inverleith, ,322984,674871,-3.23519,55.96064,7751398.81793896,15425.5132247435
7832,S13002924,Corstorphine/Murrayfield, ,321240,673114,-3.2626,55.94458,6941700.80654251,12365.9597071641
7833,S13002925,Sighthill/Gorgie, ,320802,671602,-3.26917,55.930931,6062501.86435848,17569.9725215465
7834,S13002926,Colinton/Fairmilehead, ,322251,667259,-3.24473,55.892151,19795938.9949535,24338.4357516593
7835,S13002927,Fountainbridge/Craiglockhart, ,322838,670863,-3.23638,55.924622,5356364.39849545,14258.0183966914
