objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
5362,E05011088,Weybridge Riverside, ,507791,165172,-0.45269001,51.37538147,4098460.99117365,12906.2787195924
5363,E05011089,Weybridge St George's Hill, ,508390,162029,-0.44503999,51.34701157,13034174.5805483,20650.9760526224
5364,E05011090,Bryher, ,87621,14916,-6.35646009,49.95251083,1420517.75238586,15192.7745821978
5365,E05011091,St Agnes, ,87978,7962,-6.34588003,49.89033127,1821211.28694202,21142.9989190402
5366,E05011092,St Martin's, ,92962,15547,-6.28272009,49.96094131,2770402.2640669,23272.5987552513
5367,E05011093,St Mary's, ,91327,11447,-6.3021698,49.92332077,6572866.99196902,20631.2177849135
5368,E05011094,Tresco, ,89158,14925,-6.33510017,49.95338821,3834208.29962389,23024.135159481
5369,E05011095,Borough & Bankside, ,532060,179952,-0.09868,51.50307846,1001986.49888081,4746.75936609456
5370,E05011096,Camberwell Green, ,532411,176986,-0.09474,51.47634125,921582.669910375,5090.77393044321
5371,E05011097,Champion Hill, ,533254,175614,-0.08312,51.46382141,1040193.84003925,5089.27158965137
5372,E05011098,Chaucer, ,532629,179457,-0.09067,51.49850082,753214.80957405,3753.29559158719
5373,E05011099,Dulwich Hill, ,534447,174361,-0.06643,51.45227051,1006357.07075361,4612.14190812641
5374,E05011100,Dulwich Village, ,532925,174176,-0.08839,51.4509697,2626318.14941662,7451.94233221032
5375,E05011101,Dulwich Wood, ,533672,172044,-0.07846,51.43162918,3012268.87257398,8429.7492594458
5376,E05011102,Faraday, ,532978,178023,-0.08619,51.48553085,1104858.89102434,5457.37957209623
5377,E05011103,Goose Green, ,533778,174852,-0.07587,51.45684052,1155646.057513,5186.37083454614
5378,E05011104,London Bridge & West Bermondsey, ,533298,179563,-0.081,51.49929047,1161708.35056137,5521.87209023328
5379,E05011105,Newington, ,531879,177994,-0.10202,51.48553085,786618.123716555,4561.72069115477
5380,E05011106,North Bermondsey, ,534403,179367,-0.06516,51.49726868,918649.3593669,6613.25230212024
5381,E05011107,North Walworth, ,532642,178540,-0.09083,51.49024963,792018.42078757,4413.86201446565
5382,E05011108,Nunhead & Queen's Road, ,535126,176358,-0.05591,51.47005844,1312739.50547534,6235.82165011964
5383,E05011109,Old Kent Road, ,534560,177830,-0.06349,51.48342133,1649051.54226109,6392.68512654043
5384,E05011110,Peckham, ,533948,177110,-0.07257,51.47710037,861520.155268625,4743.07614794491
5385,E05011111,Peckham Rye, ,535283,174733,-0.05427,51.45542145,1891377.94910863,6949.62073766405
