objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1059,E05001399,Dewsbury South, ,424615,418816,-1.62895,53.66526,14025847.5220495,19932.9463291227
1060,E05001400,Dewsbury West, ,422798,421527,-1.65625,53.689709,5281316.1404256,13178.7706710363
1061,E05001401,Golcar, ,410948,416398,-1.83587,53.64399,6145019.58934002,16035.3219026988
1062,E05001402,Greenhead, ,413603,417608,-1.79565,53.6548,4417300.05345349,11878.370025935
1063,E05001403,Heckmondwike, ,421448,423333,-1.67657,53.706001,5378523.41318802,11539.8541223124
1064,E05001405,Holme Valley South, ,412038,406709,-1.81975,53.556881,60411301.8601913,42997.5241558661
1065,E05001407,Lindley, ,411094,418069,-1.8336,53.659012,7086687.25968486,16744.5196597698
1066,E05001408,Liversedge and Gomersal, ,419148,423774,-1.71138,53.710049,13034071.8102207,20808.857383077
1067,E05001409,Mirfield, ,420311,419729,-1.69403,53.673649,13529875.9189806,19931.2182862553
1068,E05001410,Newsome, ,414540,415066,-1.7816,53.631931,8375377.7169358,16024.4114520983
1069,E05001444,"Ackworth, North Elmsall and Upton", ,445150,415836,-1.31862,53.637119,47151137.3746961,45235.3992207744
1070,E05001445,Airedale and Ferry Fryston, ,445489,425697,-1.31205,53.725712,7775250.86370686,16786.4755455849
1071,E05001446,Altofts and Whitwood, ,439457,424315,-1.40364,53.713779,13148853.6752775,27274.3662257043
1072,E05001447,Castleford Central and Glasshoughton, ,443520,425109,-1.34198,53.7206,6977643.68224952,17450.6146976315
1073,E05001448,"Crofton, Ryhill and Walton", ,436257,415846,-1.45311,53.63789,36497094.8470281,35631.8561935309
1074,E05001449,Featherstone, ,441502,420498,-1.37317,53.679321,21532802.5699657,33201.8408643594
1075,E05001450,Hemsworth, ,442383,413980,-1.36072,53.62067,21542851.2289336,25297.9060059283
1076,E05001451,Horbury and South Ossett, ,429439,418898,-1.55594,53.665749,6538045.07970042,12662.5088458087
1077,E05001452,Knottingley, ,447883,424227,-1.276,53.712292,12460707.3803788,20544.3570700519
1078,E05001453,Normanton, ,437402,421448,-1.43512,53.68816,12876730.0613472,23128.0299791114
1079,E05001454,Ossett, ,427532,420519,-1.58465,53.68042,11898233.2972586,19486.7599341939
1080,E05001455,Pontefract North, ,445513,422432,-1.31217,53.696369,12417350.8582823,17952.2578654776
1081,E05001456,Pontefract South, ,447134,419392,-1.28808,53.6689,20738475.6052002,22849.5267059209
1082,E05001457,South Elmsall and South Kirkby, ,445926,410825,-1.30762,53.59201,15220423.544474,23340.6118747146
1083,E05001458,Stanley and Outwood East, ,434990,423976,-1.47136,53.711048,13579374.2351895,27600.1813016604
1084,E05001459,Wakefield East, ,434341,421003,-1.48152,53.684368,5357713.70107165,16015.3679107008
1085,E05001460,Wakefield North, ,432209,421206,-1.51378,53.686329,4208430.21988835,12103.9728676627
1086,E05001461,Wakefield Rural, ,429639,414779,-1.5533,53.628719,43235781.4922336,41417.7339114477
1087,E05001462,Wakefield South, ,433402,417064,-1.49616,53.649029,8032766.96692916,16679.1112117969
1088,E05001463,Wakefield West, ,431857,419395,-1.51929,53.670078,6608684.50018884,13682.8022396006
1089,E05001464,Wrenthorpe and Outwood West, ,431280,423088,-1.52765,53.7033,10821381.9809913,17327.2634912992
1090,E05001527,Billingham Central, ,445916,524003,-1.29064,54.609119,1575831.0805391,6286.23736101494
1091,E05001528,Billingham East, ,448446,524530,-1.25139,54.613621,9548809.06935702,17689.1838456617
1092,E05001529,Billingham North, ,446269,525395,-1.28496,54.62159,1831493.95976227,6812.46736480279
1093,E05001530,Billingham South, ,450829,523138,-1.21474,54.60088,28362610.1354199,29164.0498045341
1094,E05001531,Billingham West, ,444787,523931,-1.30813,54.60857,2544961.17558493,9737.6477874208
1095,E05001532,Bishopsgarth and Elm Tree, ,441016,520624,-1.36697,54.57917,2965147.57574741,11402.4695921807
1096,E05001533,Eaglescliffe, ,440243,513413,-1.37991,54.514439,23517864.2294454,32586.6883927909
1097,E05001534,Fairfield, ,441412,519623,-1.36099,54.570148,1324905.12012191,6682.97156921153
1098,E05001535,Grangefield, ,442641,518887,-1.34208,54.563431,1916383.96443755,7878.31314830623
1099,E05001536,Hardwick and Salters Lane, ,441871,521300,-1.35365,54.585178,2046804.39773919,6593.97266394039
1100,E05001537,Hartburn, ,441159,518412,-1.36507,54.559292,4006598.78301112,11846.1982310501
1101,E05001538,Ingleby Barwick East, ,447257,513062,-1.27164,54.510681,13819590.5939534,25644.9785626993
1102,E05001539,Ingleby Barwick West, ,443975,513463,-1.32226,54.51458,4065020.42822555,12132.0334789337
1103,E05001540,Mandale and Victoria, ,445935,517809,-1.29132,54.553459,4694195.08661014,9763.44783841851
1104,E05001541,Newtown, ,443616,520378,-1.32679,54.576752,1844163.13664572,7892.30589688113
1105,E05001542,Northern Parishes, ,441261,525112,-1.36255,54.61948,27415568.1277912,29057.3992860538
1106,E05001543,Norton North, ,444445,521717,-1.31376,54.588711,1598155.31962758,5914.26768339616
1107,E05001544,Norton South, ,445212,520750,-1.30204,54.579948,2606819.46951048,10128.5207822524
1108,E05001545,Norton West, ,443539,522330,-1.32769,54.594292,2186480.62615868,7568.73614426836
1109,E05001546,Parkfield and Oxbridge, ,443808,517072,-1.32431,54.54702,4526178.8274229,13450.9025877168
1110,E05001547,Roseworth, ,442671,521775,-1.3412,54.589378,1654690.88746061,5858.48873777126
1111,E05001548,Stainsby Hill, ,446141,514956,-1.28858,54.527802,3016674.35176037,11185.3835358545
1112,E05001549,Stockton Town Centre, ,445245,519176,-1.30177,54.5658,4218821.31572163,11204.5167915234
1113,E05001550,Village, ,445084,516009,-1.30475,54.537361,2288725.28063746,10801.0517865304
1114,E05001551,Western Parishes, ,438703,518998,-1.40297,54.564739,37961107.2393323,43191.7178045354
1115,E05001552,Yarm, ,443195,510519,-1.33474,54.48819,18193208.7819034,26265.9508785925
1116,E05001577,Appleton, ,351845,386375,-2.72523,53.37204,1620752.52349303,6347.44190912292
1117,E05001578,Beechwood, ,353691,379916,-2.69654,53.314152,1345543.5690155,6296.00138144355
1118,E05001579,Birchfield, ,350493,387541,-2.74573,53.382401,1828592.60456824,6073.64183657648
1119,E05001580,Broadheath, ,349507,386285,-2.76035,53.37101,1177981.83165788,5782.14349003702
1120,E05001581,Halton Castle, ,353607,383166,-2.69828,53.343361,5655170.83579023,12823.2146092713
1121,E05001582,Daresbury, ,357279,382266,-2.64301,53.335579,19427845.6353002,29614.7447037276
1122,E05001583,Ditton, ,347694,384405,-2.78729,53.353939,8042407.27788793,14696.5547402936
1123,E05001584,Farnworth, ,351536,388457,-2.73019,53.39072,4848188.40993732,12594.5987877653
1124,E05001585,Grange, ,352402,381657,-2.71615,53.329689,1419000.69341462,6066.87043089708
1125,E05001586,Hale, ,346361,382362,-2.80696,53.335442,11166977.2764301,14904.2946241586
1126,E05001587,Halton Brook, ,352540,382323,-2.71418,53.335678,1428932.94539041,4767.63739024242
1127,E05001588,Halton Lea, ,353746,380957,-2.69587,53.323509,2112385.61164349,7254.91795935636
1128,E05001589,Halton View, ,353099,386326,-2.70638,53.371712,3825901.74704398,9618.04841468391
1129,E05001590,Heath, ,350973,380776,-2.73747,53.32164,8326199.3141181,16071.8488397888
1130,E05001591,Hough Green, ,348981,387048,-2.76838,53.377819,1342845.79051638,5082.28739399264
1131,E05001592,Kingsway, ,350744,386131,-2.74174,53.369751,2051016.60102938,6719.27377753466
1132,E05001593,Mersey, ,350698,382426,-2.74185,53.336441,3601096.76695182,9887.47922146174
1133,E05001594,Norton North, ,355278,381574,-2.67296,53.329189,2492397.91015138,10994.7428681128
1134,E05001595,Norton South, ,355110,380474,-2.67532,53.31929,1705243.23427293,6445.45558976109
1135,E05001596,Riverside, ,351105,384820,-2.73611,53.358002,5745344.85089947,11621.4016944081
1136,E05001597,Windmill Hill, ,355046,382532,-2.67658,53.33778,1157667.61502114,5099.60023928622
1137,E05001643,Anchorsholme, ,332072,442071,-3.03454,53.870392,1837736.51106502,7769.48563993512
1138,E05001644,Bispham, ,331141,439611,-3.04814,53.84816,2533749.9850365,7298.91940855509
1139,E05001645,Bloomfield, ,330996,434864,-3.04928,53.805481,2496778.80224108,6853.65400126301
1140,E05001646,Brunswick, ,331850,436573,-3.03669,53.82095,844419.90779435,4469.10465272954
1141,E05001647,Claremont, ,331162,437071,-3.04725,53.82534,1864641.63891629,6791.07543149614
1142,E05001648,Clifton, ,333706,434088,-3.00797,53.798859,2261625.65866438,7706.252748841
1143,E05001649,Greenlands, ,332151,438662,-3.03258,53.839771,2051149.30185403,7156.00647373065
1144,E05001650,Hawes Side, ,332344,433979,-3.02862,53.79771,999565.82769229,6039.89892750542
1145,E05001651,Highfield, ,331913,432760,-3.03489,53.786701,1026780.888015,4919.81039867212
1146,E05001652,Ingthorpe, ,332435,440187,-3.0286,53.853512,1941135.74087242,6849.25329630149
